1240590,Sir Whoopass™: Immortal Death,-50%,$8.49,81.43%,Aug 2022,0;
228300,Remember Me,-80%,$5.99,81.22%,Jun 2013,0;
765810,Mars Horizon,-70%,$3.14,81.03%,Nov 2020,0;
1206430,The Unfinished Swan,-70%,$2.24,80.89%,Sep 2020,90;
398980,Without Within 2,-50%,$2.49,80.69%,Nov 2015,0;
711660,CHUCHEL,-75%,$0.87,80.46%,Mar 2018,0;
1284410,GWENT: The Witcher Card Game,N/A,N/A,N/A,May 2020,18;
1091500,Cyberpunk 2077,-50%,$22.49,80.42%,Dec 2020,17658;
1749770,Twofold,-10%,$8.99,80.36%,Oct 2023,0;
420290,Blackwake,-39%,$1.82,80.22%,Feb 2020,126;
794540,Neo Cab,-85%,$1.19,80.10%,Oct 2019,366;
2113120,Verlet Ascend,-40%,$1.79,80.09%,Feb 2023,11;
261640,Borderlands: The Pre-Sequel,-75%,$9.99,80.05%,Oct 2014,0;
12210,Grand Theft Auto IV: The Complete Edition,-70%,$5.99,80.03%,Mar 2020,0;
1128810,RISK: Global Domination,N/A,N/A,N/A,Feb 2020,66;
12230,Grand Theft Auto III,N/A,N/A,N/A,—,0;
799960,Wizard101,N/A,N/A,N/A,Sep 2008,56;
1479890,Inua - A Story in Ice and Time,-60%,$5.99,79.45%,Feb 2022,0;
1225570,Unravel Two,-80%,$3.99,79.43%,Jun 2018,0;
2080640,First Date : Late To Date,-40%,$0.66,79.22%,Aug 2022,0;
612880,Wolfenstein II: The New Colossus,-85%,$3.59,78.97%,Oct 2017,0;
1594400,GAI Stops Auto: Right Version Simulator,-70%,$0.59,78.89%,Jun 2021,0;
966330,Flower,-73%,$1.02,78.77%,Feb 2019,22;
1172470,Apex Legends™,N/A,N/A,N/A,Nov 2020,0;
677160,We Were Here Too,-80%,$1.15,78.71%,Feb 2018,222;
438740,Friday the 13th: The Game,N/A,N/A,N/A,May 2017,0;
1588760,Switchball HD,-50%,$4.49,78.62%,May 2021,0;
427730,Who's Your Daddy?!,-55%,$2.60,78.55%,Dec 2015,60;
869170,Oneiros,N/A,N/A,N/A,Mar 2020,0;
308040,Back to Bed,-45%,$3.29,78.38%,Aug 2014,84;
1328660,Need for Speed™ Hot Pursuit Remastered,N/A,N/A,N/A,Nov 2020,1032;
850630,Starting The Game,-70%,$0.44,78.22%,May 2018,0;
1721470,Poppy Playtime,N/A,N/A,N/A,Oct 2021,156;
231430,Company of Heroes 2,-75%,$4.49,77.94%,Jun 2013,0;
350640,Sherlock Holmes: The Devil's Daughter,-85%,$2.69,77.89%,Jun 2016,0;
1990740,Barro GT,-51%,$0.44,77.23%,May 2022,9;
2023050,Lighthouse Keeper,-70%,$0.74,77.17%,Aug 2022,0;
769970,Bad Dream: Fever,-90%,$0.57,76.42%,Nov 2018,96;
205650,The Testament of Sherlock Holmes,-90%,$1.19,76.26%,Sep 2012,0;
11190,Sherlock Holmes versus Jack the Ripper,-80%,$1.19,76.21%,Dec 2009,0;
1361000,In Silence,-40%,$3.47,75.90%,Oct 2021,96;
1081510,She Sees Red - Interactive Movie,-60%,$3.19,75.25%,Jul 2019,66;
320240,We Happy Few,-90%,$5.99,75.03%,Aug 2018,3378;
